No,Date,Invoice,BarCode,Description,Unit,Q'tity,Price,Promotion,Total
1,7/14/12,HBL/TT/11/07/12_00001,AG0446,SPORT STRAPPING TAPE 4.5mx38mm,ROLL,1,"20,000",0,"20,000"
2,7/14/12,HBL/TT/11/07/12_00001,KT0032,CUTLERY SET SINGLE PLACING 4pk,ROLL,2,"25,000",0,"50,000"
3,7/14/12,HBL/TT/11/07/12_00001,NG0073,DIGITAL BABY THERMOMETER,PC,1,"59,000",0,"59,000"
4,7/14/12,HBL/TT/08/07/12_00002,SC0144,BALLOON ANIMALS W/PUMP 20pk,PACK,1,"35,000",0,"35,000"
5,7/14/12,HBL/TT/08/07/12_00002,SE0086,JUMBO PENCIL W/SHARPENER,PC,1,"18,000",0,"18,000"
6,7/14/12,HBL/TT/08/07/12_00002,SE0124,FLEXI PVC PENCILS 5pk,PACK,1,"20,000",0,"20,000"
7,7/14/12,HBL/TT/08/07/12_00002,SG0013,SET/2 30CM RULER,SET,1,"18,000",0,"18,000"
8,7/14/12,HBL/TT/08/07/12_00002,SL0033,STICKER BOX VALUE PACK 1000pc,PACK,2,"29,000",0,"58,000"
9,7/14/12,HBL/TT/08/07/12_00002,TM0370,4in1 LINEUP GAME MINI -PDQ,PC,1,"29,000",0,"29,000"
10,7/14/12,HBL/TT/08/07/12_00002,DP0010,MAGNET PHOTO PCKTS 3pk 10x15cm,PACK,1,"35,000",0,"35,000"
11,7/14/12,HBL/TT/08/07/12_00002,KS0100,MINI STASH TUBS OVAL/RECT 3pk,PACK,1,"29,000",0,"29,000"
12,7/14/12,HBL/TT/08/07/12_00003,KA0112,METAL BUTTERFLY CAN OPENER 17cm,PC,1,"18,000",0,"18,000"
13,7/14/12,HBL/TT/08/07/12_00003,KA0142,WAITERS FRIEND 11cm 3in1,PC,1,"17,000",0,"17,000"
14,7/14/12,HBL/TT/08/07/12_00003,KA0153,WINGED CORKSCREW CHROME 15cm ,PC,1,"35,000",0,"35,000"
15,7/14/12,HBL/TT/08/07/12_00003,EA0164,EARPHONE IN CYLDR HI SOUND DEF,SET,1,"39,000",0,"39,000"
16,7/14/12,HBL/TT/08/07/12_00003,HT0040,T TYPE SCREWDRIVER SET 21PC,SET,1,"45,000",0,"45,000"
17,7/14/12,HBL/TT/08/07/12_00003,SP0008,NOTE BOOK SPIRAL PP COVER A6,PC,1,"14,000",0,"14,000"
18,7/14/12,HBL/TT/08/07/12_00003,LC0045,MINI TORCHES 2pk -8CM/14.5CM ,SET,1,"29,000",0,"29,000"
19,7/14/12,HBL/TT/08/07/12_00003,LG0121,DARTBOARD PAPER 38cm W/DARTS,SET,1,"89,000","50,000","39,000"
20,7/14/12,HBL/TT/08/07/12_00004,LG0004,DARTS - SET 3,SET,1,"39,000",0,"39,000"
21,7/14/12,HBL/TT/08/07/12_00004,SE0086,JUMBO PENCIL W/SHARPENER,PC,1,"18,000",0,"18,000"
