"Default","checkingstatus1","duration","history","purpose","amount","savings","employ","installment","status","others","residence","property","age","otherplans","housing","cards","job","liable","tele","foreign","rent"
"0","A11",6,"terrible","goods/repair",1169,"A65","A75",4,"A93","A101","4","A121",67,"A143","A152","2","A173","1","A192","foreign","FALSE"
"1","A12",48,"poor","goods/repair",5951,"A61","A73",2,"A92","A101","2","A121",22,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A14",12,"terrible","edu",2096,"A61","A74",2,"A93","A101","3","A121",49,"A143","A152","1","A172","2","A191","foreign","FALSE"
"0","A11",42,"poor","goods/repair",7882,"A61","A74",2,"A93","A103","4","A122",45,"A143","A153","1","A173","2","A191","foreign","FALSE"
"1","A11",24,"poor","newcar",4870,"A61","A73",3,"A93","A101","4","A124",53,"A143","A153","2","A173","2","A191","foreign","FALSE"
"0","A14",36,"poor","edu",9055,"A65","A73",2,"A93","A101","4","A124",35,"A143","A153","1","A172","2","A192","foreign","FALSE"
"0","A14",24,"poor","goods/repair",2835,"A63","A75",3,"A93","A101","4","A122",53,"A143","A152","1","A173","1","A191","foreign","FALSE"
"0","A12",36,"poor","usedcar",6948,"A61","A73",2,"A93","A101","2","A123",35,"A143","A151","1","A174","1","A192","foreign","TRUE"
"0","A14",12,"poor","goods/repair",3059,"A64","A74",2,"A91","A101","4","A121",61,"A143","A152","1","A172","1","A191","foreign","FALSE"
"1","A12",30,"terrible","newcar",5234,"A61","A71",4,"A94","A101","2","A123",28,"A143","A152","2","A174","1","A191","foreign","FALSE"
"1","A12",12,"poor","newcar",1295,"A61","A72",3,"A92","A101","1","A123",25,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A11",48,"poor","biz",4308,"A61","A72",3,"A92","A101","4","A122",24,"A143","A151","1","A173","1","A191","foreign","TRUE"
"0","A12",12,"poor","goods/repair",1567,"A61","A73",1,"A92","A101","1","A123",22,"A143","A152","1","A173","1","A192","foreign","FALSE"
"1","A11",24,"terrible","newcar",1199,"A61","A75",4,"A93","A101","4","A123",60,"A143","A152","2","A172","1","A191","foreign","FALSE"
"0","A11",15,"poor","newcar",1403,"A61","A73",2,"A92","A101","4","A123",28,"A143","A151","1","A173","1","A191","foreign","TRUE"
"1","A11",24,"poor","goods/repair",1282,"A62","A73",4,"A92","A101","2","A123",32,"A143","A152","1","A172","1","A191","foreign","FALSE"
"0","A14",24,"terrible","goods/repair",2424,"A65","A75",4,"A93","A101","4","A122",53,"A143","A152","2","A173","1","A191","foreign","FALSE"
"0","A11",30,"good","biz",8072,"A65","A72",2,"A93","A101","3","A123",25,"A141","A152","3","A173","1","A191","foreign","FALSE"
"1","A12",24,"poor","usedcar",12579,"A61","A75",4,"A92","A101","2","A124",44,"A143","A153","1","A174","1","A192","foreign","FALSE"
